Source,Target,Type,Weight,Category
199bfae9-7e0b-4f17-9e73-a96d75e3ef81,03edc4c2-2354-45c1-a651-f8eec4049b59,relationship,8,relationship
b131aa10-5aae-4723-8915-61ae01d3bddf,03edc4c2-2354-45c1-a651-f8eec4049b59,relationship,8,relationship
b06d9c88-a62b-4117-97e3-4aa390f13fce,03edc4c2-2354-45c1-a651-f8eec4049b59,relationship,8,relationship
00a23f02-7c93-41fc-a0b9-9302b4f4d417,03edc4c2-2354-45c1-a651-f8eec4049b59,relationship,8,relationship
03edc4c2-2354-45c1-a651-f8eec4049b59,0285a5b0-e8e0-4d53-9715-f8f6863c92ac,relationship,9,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,1a0fd8e3-7161-4cf7-9349-801984a76324,relationship,9,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,89e5473e-92b2-4beb-b8d4-b417378c3cc6,relationship,7,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,aece9995-d7f3-44c1-91b4-7a235b28b2a2,relationship,7,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,1a8462be-8626-45ee-b568-320fa4048551,relationship,8,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,ee27fa84-d930-44dd-85a9-b796bdd659c6,relationship,8,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,64aca0f9-73da-469d-b700-942c0e0e0f73,relationship,7,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,2f900b37-65e7-47ad-af1c-0d65e3002e5c,relationship,7,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,86f9a489-361b-4f66-88f6-ea5c70d33da5,relationship,8,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,793877c3-e6a2-41da-ad4c-7d6315cfb560,relationship,8,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,fd7e06b9-24fa-4095-bd6d-808662e8ee13,relationship,9,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,c1cc69fc-eb88-4444-b5ab-5f4c9cd8cc45,relationship,8,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,82a60878-6ee8-46b3-8d3f-0b97a9884815,relationship,1,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,3bb77ca7-0ed3-4e0c-a231-7d065d6754c3,relationship,9,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,1825f70e-78ff-447e-8172-dd62c8db7c2f,relationship,9,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,2b313278-10f5-4432-b130-01f0743740ee,relationship,8,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,e185e9cd-d016-42c6-bc65-92c4bd6d444e,relationship,7,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,30d50d1d-b158-4d37-ba49-f12cdd58297a,relationship,8,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,ac65625b-064e-42b7-af8b-1c6c4ddf65b6,relationship,1,relationship
30d50d1d-b158-4d37-ba49-f12cdd58297a,73c24291-a065-49c7-b580-9050cdc23ad1,relationship,8,relationship
ac65625b-064e-42b7-af8b-1c6c4ddf65b6,4c3cdb1b-6a3d-4e48-87ad-208603a0868f,relationship,9,relationship
ac65625b-064e-42b7-af8b-1c6c4ddf65b6,b511a3bb-a065-44d4-83c0-4b082463bcfd,relationship,8,relationship
ac65625b-064e-42b7-af8b-1c6c4ddf65b6,f86006fe-e2b6-4d87-a4a8-a9d68549b5b9,relationship,7,relationship
ac65625b-064e-42b7-af8b-1c6c4ddf65b6,33694225-dbe4-452e-8949-c37a82166cdc,relationship,7,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,4c3cdb1b-6a3d-4e48-87ad-208603a0868f,relationship,7,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,e434acda-fdbb-48c8-a876-dd94226dd8a8,relationship,1,relationship
b511a3bb-a065-44d4-83c0-4b082463bcfd,19c9c08d-d402-4a4d-95fe-2ca3c359b2ed,relationship,9,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,402c8735-6062-4805-af7c-4d4b341e5850,relationship,6,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,1f36509d-fcbd-4f13-86a5-418e6b4d6b0d,relationship,6,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,d47d6d55-f1bf-41e3-b578-3f15cf70fec4,relationship,6,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,689f5617-d6a5-42c5-a850-9f9dd9a69ac7,relationship,7,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,ee476e81-c3e5-4dfb-bb67-a9e1cf72c29b,relationship,7,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,1ddda3b2-99b2-4d4a-99db-8a8345b2d002,relationship,1,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,d7f020f2-f58e-4209-a554-6ff19e8ae625,relationship,8,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,283e6f7f-fe7d-4d69-80b6-a2acd982e29f,relationship,8,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,c973b602-2b8b-4286-9bcf-c337787ad16f,relationship,8,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,19ad4169-fc89-4798-81fc-beee10136904,relationship,8,relationship
