Id,Label,Category,Type,Weight
199bfae9-7e0b-4f17-9e73-a96d75e3ef81,VENKATESH BALAVADHANI PARTHASARATHY,entity,PERSON,1
b131aa10-5aae-4723-8915-61ae01d3bddf,AHTSHAM ZAFAR,entity,PERSON,1
b06d9c88-a62b-4117-97e3-4aa390f13fce,AAFAQ KHAN,entity,PERSON,1
00a23f02-7c93-41fc-a0b9-9302b4f4d417,ARSALAN SHAHID,entity,PERSON,1
03edc4c2-2354-45c1-a651-f8eec4049b59,CEADAR,entity,ORGANIZATION,1
0285a5b0-e8e0-4d53-9715-f8f6863c92ac,UNIVERSITY COLLEGE DUBLIN,entity,ORGANIZATION,1
b511a3bb-a065-44d4-83c0-4b082463bcfd,LARGE LANGUAGE MODELS,entity,MODEL,1
1a0fd8e3-7161-4cf7-9349-801984a76324,NATURAL LANGUAGE PROCESSING,entity,DOMAIN,1
89e5473e-92b2-4beb-b8d4-b417378c3cc6,LOW-RANK ADAPTATION,entity,TECHNIQUE,1
aece9995-d7f3-44c1-91b4-7a235b28b2a2,HALF FINE-TUNING,entity,TECHNIQUE,1
1a8462be-8626-45ee-b568-320fa4048551,PROXIMAL POLICY OPTIMISATION,entity,ALGORITHM,1
ee27fa84-d930-44dd-85a9-b796bdd659c6,DIRECT PREFERENCE OPTIMISATION,entity,ALGORITHM,1
64aca0f9-73da-469d-b700-942c0e0e0f73,MIXTURE OF EXPERTS,entity,MODEL,1
2f900b37-65e7-47ad-af1c-0d65e3002e5c,MIXTURE OF AGENTS,entity,MODEL,1
86f9a489-361b-4f66-88f6-ea5c70d33da5,HYPERPARAMETER TUNING,entity,TECHNIQUE,1
793877c3-e6a2-41da-ad4c-7d6315cfb560,DATA PREPARATION,entity,TECHNIQUE,1
fd7e06b9-24fa-4095-bd6d-808662e8ee13,MODEL DEPLOYMENT,entity,EVENT,1
c1cc69fc-eb88-4444-b5ab-5f4c9cd8cc45,VALIDATION FRAMEWORKS,entity,FRAMEWORK,1
82a60878-6ee8-46b3-8d3f-0b97a9884815,MULTIMODAL LLMS,entity,MODEL,1
1825f70e-78ff-447e-8172-dd62c8db7c2f,GPT-4,entity,MODEL,1
2b313278-10f5-4432-b130-01f0743740ee,REINFORCEMENT LEARNING FROM HUMAN FEEDBACK,entity,TECHNIQUE,1
e185e9cd-d016-42c6-bc65-92c4bd6d444e,STATISTICAL LANGUAGE MODELS,entity,MODEL,1
30d50d1d-b158-4d37-ba49-f12cdd58297a,NEURAL LANGUAGE MODELS,entity,MODEL,1
ac65625b-064e-42b7-af8b-1c6c4ddf65b6,PRE-TRAINED LANGUAGE MODELS,entity,MODEL,1
73c24291-a065-49c7-b580-9050cdc23ad1,WORD2VEC,entity,TECHNIQUE,1
f86006fe-e2b6-4d87-a4a8-a9d68549b5b9,GPT-2,entity,MODEL,1
33694225-dbe4-452e-8949-c37a82166cdc,BERT,entity,MODEL,1
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,FINE-TUNING,entity,TECHNIQUE,1
402c8735-6062-4805-af7c-4d4b341e5850,UNSUPERVISED FINE-TUNING,entity,TECHNIQUE,1
1f36509d-fcbd-4f13-86a5-418e6b4d6b0d,SUPERVISED FINE-TUNING,entity,TECHNIQUE,1
d47d6d55-f1bf-41e3-b578-3f15cf70fec4,INSTRUCTION FINE-TUNING,entity,TECHNIQUE,1
e434acda-fdbb-48c8-a876-dd94226dd8a8,RETRIEVAL AUGMENTED GENERATION,entity,TECHNIQUE,1
19c9c08d-d402-4a4d-95fe-2ca3c359b2ed,TRANSFORMER ARCHITECTURES,entity,FRAMEWORK,1
689f5617-d6a5-42c5-a850-9f9dd9a69ac7,TEXT CLASSIFICATION,entity,TASK,1
ee476e81-c3e5-4dfb-bb67-a9e1cf72c29b,SENTIMENT ANALYSIS,entity,TASK,1
1ddda3b2-99b2-4d4a-99db-8a8345b2d002,QUESTION-ANSWERING,entity,TASK,1
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,RETRIEVAL-AUGMENTED GENERATION,entity,TECHNIQUE,1
d7f020f2-f58e-4209-a554-6ff19e8ae625,LLM,entity,MODEL,1
b745cafe-a2da-4436-9fd2-6b25a879667d,PARAMETER-EFFICIENT FINE-TUNING,entity,TECHNIQUE,1
283e6f7f-fe7d-4d69-80b6-a2acd982e29f,DATA INDEXING,entity,TECHNIQUE,1
c973b602-2b8b-4286-9bcf-c337787ad16f,INPUT QUERY PROCESSING,entity,TECHNIQUE,1
19ad4169-fc89-4798-81fc-beee10136904,SEARCHING AND RANKING,entity,TECHNIQUE,1
d6229c5b-498e-4935-9229-52e77f9027f3,PROMPT AUGMENTATION,entity,TECHNIQUE,1
6f1f981b-ca3c-4fe1-8f08-82aa28ab52e4,RESPONSE GENERATION,entity,TECHNIQUE,1
06dc2e59-828c-4c2f-bd76-23bf57d2ec38,USER EXPERIENCE,entity,METRIC,1
4f5e6fdc-5c5a-4291-8fe0-bc56d52bc5c0,COST EFFICIENCY,entity,METRIC,1
bb772acd-2f62-44ff-a813-62a365091549,ACCURACY,entity,METRIC,1
5031e76a-4ebc-4674-9285-1f18000c50b6,RECENCY AND RELEVANCE,entity,METRIC,1
464ff4c5-077d-469e-b264-f5d2c3cd48f6,BUSINESS CONTEXT AWARENESS,entity,METRIC,1
f6cb50df-1dde-43e0-96a1-bc9882562476,SERVICE SCALABILITY,entity,METRIC,1
3f343401-488b-4cf5-91ee-bbc56be1ecac,SECURITY AND GOVERNANCE,entity,METRIC,1
c3a53fb7-b235-4cde-b332-8306803646de,QUESTION AND ANSWER CHATBOTS,entity,APPLICATION,1
3adc6b12-f384-4018-8333-9d20890961a6,SEARCH AUGMENTATION,entity,APPLICATION,1
657d89bf-7dd7-4227-9761-c520076c13a1,KNOWLEDGE ENGINE,entity,APPLICATION,1
ee0d3bd3-34da-444c-9978-1f1421c1e08e,NLP,entity,DOMAIN,1
cf6a3487-18ae-4fe2-94d8-0eb4e2cce3c4,TF-IDF,entity,ALGORITHM,1
2214aa77-024c-41f9-aed8-87147a775408,BM25,entity,ALGORITHM,1
511ad143-8f20-4fc3-bc06-8bdb8c9c806a,HYPERPARAMETER,entity,PARAMETER,1
6b8ffa45-3d92-484d-bf2a-3f904f29eafe,VECTOR DATABASE,entity,DATASET,1
a80f259e-6701-4032-a883-57bf22b8b3bc,VISUAL WORKFLOW,entity,FRAMEWORK,1
63bfe180-dd05-4f2b-bc67-25d16f1dd47b,DYNAMIC DATA RETRIEVAL,entity,TECHNIQUE,1
447f4ca7-4cb1-47db-b7ac-1830a9ba2d53,LARGE LANGUAGE MODEL,entity,MODEL,1
